6905,exploits/windows/misc/citrix_streamprocess_get_objects,[]
6905,exploits/windows/misc/citrix_streamprocess_get_boot_record_request,[]
5555,exploits/windows/misc/hp_dataprotector_exec_bar,[]
5555,exploits/windows/misc/hp_dataprotector_install_service,[]
3050,exploits/windows/misc/fb_cnct_group,[]
3817,exploits/windows/misc/hp_dataprotector_dtbclslogin,[]
443,exploits/windows/misc/hp_loadrunner_magentproc,[]
11000,exploits/windows/misc/bomberclone_overflow,[]
3050,exploits/windows/misc/fb_isc_attach_database,[]
3050,exploits/windows/misc/ib_svc_attach,[]
9256,exploits/windows/misc/achat_bof,[]
10008,exploits/windows/misc/gimp_script_fu,[]
5555,exploits/windows/misc/hp_omniinet_4,[]
65535,exploits/windows/misc/landesk_aolnsrvr,[]
514,exploits/windows/misc/enterasys_netsight_syslog_bof,[]
4659,exploits/windows/misc/avidphoneticindexer,[]
514,exploits/windows/misc/windows_rsh,[]
19810,exploits/windows/misc/bopup_comm,[]
3050,exploits/windows/misc/ib_isc_attach_database,[]
3057,exploits/windows/misc/borland_starteam,[]
2000,exploits/windows/misc/shixxnote_font,[]
105,exploits/windows/misc/mercury_phonebook,[]
6661,exploits/windows/misc/bigant_server_dupf_upload,[]
6661,exploits/windows/misc/bigant_server_sch_dupf_bof,[]
3460,exploits/windows/misc/poisonivy_21x_bof,[]
5555,exploits/windows/misc/hp_dataprotector_traversal,[]
3050,exploits/windows/misc/borland_interbase,[]
6905,exploits/windows/misc/citrix_streamprocess_get_footer,[]
23472,exploits/windows/misc/hp_magentservice,[]
1100,exploits/windows/misc/doubletake,[]
10616,exploits/windows/misc/eiqnetworks_esa,[]
6660,exploits/windows/misc/bigant_server_250,[]
3050,exploits/windows/misc/fb_isc_create_database,[]
3200,exploits/windows/misc/sap_netweaver_dispatcher,[]
113,exploits/windows/misc/tiny_identd_overflow,[]
5051,exploits/windows/misc/hp_ovtrace,[]
3817,exploits/windows/misc/hp_dataprotector_new_folder,[]
402,exploits/windows/misc/altiris_ds_sqli,[]
10628,exploits/windows/misc/eiqnetworks_esa_topology,[]
8001,exploits/windows/misc/lianja_db_net,[]
8400,exploits/windows/misc/manageengine_eventlog_analyzer_rce,[]
3217,exploits/windows/misc/avaya_winpmd_unihostrouter,[]
6080,exploits/windows/misc/bigant_server,[]
8082,exploits/windows/misc/ms10_104_sharepoint,[]
6905,exploits/windows/misc/citrix_streamprocess_data_msg,[]
3050,exploits/windows/misc/ib_isc_create_database,[]
623,exploits/windows/misc/asus_dpcproxy_overflow,[]
5555,exploits/windows/misc/hp_omniinet_3,[]
6660,exploits/windows/misc/bigant_server_usv,[]
5555,exploits/windows/misc/hp_dataprotector_cmd_exec,[]
888,exploits/windows/misc/allmediaserver_bof,[]
1582,exploits/windows/misc/ibm_tsm_rca_dicugetidentify,[]
705,exploits/windows/misc/agentxpp_receive_agentx,[]
20101,exploits/windows/misc/trendmicro_cmdprocessor_addtask,[]
5555,exploits/windows/misc/hp_omniinet_1,[]
407,exploits/windows/motorola/timbuktu_fileupload,[]
62514,exploits/windows/vpn/safenet_ike_11,[]
42,exploits/windows/wins/ms04_045_wins,[]
69,exploits/windows/tftp/dlink_long_filename,[]
69,exploits/windows/tftp/quick_tftp_pro_mode,[]
69,exploits/windows/tftp/threectftpsvc_long_mode,[]
69,exploits/windows/tftp/opentftp_error_code,[]
69,exploits/windows/tftp/futuresoft_transfermode,[]
69,exploits/windows/tftp/attftp_long_filename,[]
69,exploits/windows/tftp/tftpd32_long_filename,[]
69,exploits/windows/tftp/tftpserver_wrq_bof,[]
